date,link,text
2019-08-13 07:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-intern-cad-cnc/6955544667.html,"Architect Intern - CAD, CNC, Fabrication"
2019-08-12 19:05,https://newyork.craigslist.org/mnh/egr/d/freelance-drafter-project-architect/6955340427.html,Freelance Drafter / Project Architect
2019-08-12 14:13,https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-class-2-filing/6955099299.html,NYC DOB Class 2 Filing Representative
2019-08-12 13:59,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-expediter/6955085126.html,DOB Expediter
2019-08-12 13:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-gc-construction-assistant/6955039813.html,GC Construction Assistant Project Manager
2019-08-12 13:05,https://newyork.craigslist.org/lgi/egr/d/massapequa-park-engineer/6955033566.html,Engineer
2019-08-12 12:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-3intermediate/6954969495.html,"Architect, 3Intermediate Architect for Small High-End Residential Firm"
2019-08-12 11:46,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/6954956182.html,Senior Interior Designer/Project Manager - Home Studios
2019-08-11 17:55,https://newyork.craigslist.org/lgi/egr/d/floral-park-construction-project-manager/6954566897.html,construction Project Manager
2019-08-11 13:45,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6954397480.html,Junior Architect
2019-08-11 06:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-interior/6954196837.html,Residential Interior Designer+Project Manager w/10 min 10 yrs exp
2019-08-10 16:29,https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6953936006.html,Landscape Designer/Architect - Landscape sales
2019-08-10 14:36,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6953845885.html,Architect/Designer
2019-08-10 12:45,https://newyork.craigslist.org/wch/egr/d/mount-kisco-architect-engineer-cad/6953747764.html,Architect / Engineer / CAD Operator
2019-08-09 21:05,https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-for-small/6953418593.html,Freelance for Small Architecture Firm
